지하철역명,단위면적 환산액(만원)
4.19민주묘지,4.282
가능,2.413
가락시장,6.108
가산디지털단지,7.396
가양,5.296
가오리,3.39
가재울,1.933
가정,2.32
가정중앙시장,1.881
가좌,4.07
가평,2.343
간석,2.25
간석오거리,3.146
갈매,5.739
갈산,2.916
강남,10.26
강남구청,9.38
강남대,3.667
강동,8.037
강동구청,5.249
강매,3.747
강변,8.615
개농,5.252
개봉,3.746
개화,2.347
개화산,5.015
거여,4.572
건대입구,7.085
걸포북변,2.466
검단사거리,2.408
검바위,3.098
검암,3.112
경기광주,2.988
경기도청북부청사,4.831
경복궁,5.956
경원대,2.097
경인교대,2.558
경전철의정부,3.232
경찰병원,6.284
계산,2.418
계양,1.843
고덕,8.229
고려대,4.571
고색,2.713
고속터미널,3.643
고잔,4.541
고진,1.374
고촌,4.76
곤제,3.075
곤지암,1.966
공덕,6.652
공릉,4.35
공항시장,5.07
관악,3.82
광교,6.023
광교중앙,6.925
광나루,1.486
광명,5.475
광명사거리,3.341
광화문,4.426
광흥창,4.79
교대,7.338
구래,4.028
구로,4.446
구로디지털단지,6.17
구리,3.401
구반포,6.089
구산,4.687
구성,6.687
구의,6.426
구일,6.128
구파발,5.104
국수,2.534
국제업무지구,1.129
국회의사당,5.008
군자,7.815
군포,3.348
굴포천,3.342
굽은다리,5.82
귤현,3.106
금곡,1.966
금릉,2.876
금정,3.688
금천구청,5.324
금촌,3.102
금호,3.731
기흥,3.0
길동,7.948
길음,2.654
김량장,2.533
까치산,5.252
낙성대,4.623
남구로,3.351
남동구청,2.76
남동인더스파크,2.817
남부터미널,8.272
남성,4.707
남영,10.018
남한산성입구,3.177
내방,6.517
노들,3.637
노량진,5.074
노원,3.858
녹번,5.741
녹사평,5.814
녹양,2.785
녹천,3.702
논현,7.133
능곡,2.37
단대오거리,2.819
달미,2.744
답십리,7.596
당고개,2.287
당산,7.668
당정,3.835
대곡,1.881
대림,5.969
대모산입,3.934
대방,9.258
대성리,2.638
대야미,2.943
대청,5.918
대화,3.848
대흥,6.807
덕계,2.08
덕소,2.871
덕정,1.923
도농,3.088
도림천,4.667
도봉,4.127
도봉산,2.35
도심,2.534
도원,2.078
도화,2.503
독립문,3.054
독바위,4.018
독산,5.945
독정,3.096
돌곶이,4.559
동,2.472
동대문,3.269
동대문역사문화공원,8.75
동대입구,3.645
동두천,1.562
동두천중앙,2.03
동막,3.262
동묘앞,7.91
동백,3.612
동수,2.651
동암,2.829
동오,2.967
동인천,2.687
동작,1.24
동천,6.659
둔전,2.651
둔촌동,5.171
둔촌오륜,1.402
등촌,5.564
디지털미디어시티,4.912
뚝섬,5.755
뚝섬유원지,7.728
마곡,4.139
마곡나루,7.254
마두,4.121
마들,3.417
마산,3.265
마석,2.334
마장,3.554
마전,2.394
마천,3.29
마포,6.596
마포구청,7.911
만수,2.236
망우,6.361
망원,6.197
망월사,3.209
망포,3.717
매교,3.773
매봉,7.655
매탄,3.525
먹골,4.551
면목,5.183
명동,10.444
명일,5.419
명지대,2.82
명학,3.702
모란,6.778
모래내시장,2.139
목동,4.478
몽촌토성,9.136
무악재,1.898
문래,5.227
문산,1.793
문정,5.803
문학경기장,2.38
미,6.43
미금,5.143
미아,3.179
미아사거리,2.552
박촌,1.894
반월,3.033
반포,6.126
발곡,2.955
발산,6.853
방배,6.244
방이,5.51
방학,5.381
방화,4.262
백마,3.416
백석,3.689
백운,2.449
버티고개,2.901
범계,4.799
범골,2.756
별내,4.671
병점,4.214
보라매,5.715
보문,4.596
보산,1.449
보평,1.762
