지하철역명,단위면적 환산액(만원)
4.19민주묘지,2.628
가능,1.574
가락시장,3.416
가산디지털단지,3.874
가양,2.498
가오리,2.208
가재울,1.2
가정,2.0
가정중앙시장,1.076
가좌,2.861
간석,1.396
간석오거리,1.788
갈매,2.13
갈산,1.445
강남,4.562
강남구청,3.959
강남대,3.259
강동,4.473
강동구청,4.128
강매,1.981
강변,3.741
개농,3.07
개봉,2.729
개포동,4.727
개화산,2.505
거여,2.032
건대입구,3.694
걸포북변,1.702
검단사거리,1.305
검단오류,1.654
검바위,1.725
검암,1.865
경기광주,2.112
경기도청북부청사,2.332
경복궁,3.881
경원대,2.736
경인교대,1.335
경전철의정부,2.08
경찰병원,3.342
계산,1.248
고덕,3.936
고려대,3.052
고색,1.784
고속터미널,3.129
고잔,2.257
고진,1.484
고촌,2.081
곤제,1.436
곤지암,1.654
공덕,3.473
공릉,2.86
공항시장,2.864
과천,3.585
관악,2.738
광교,2.832
광교중앙,3.361
광나루,2.626
광명,2.743
광명사거리,1.757
광화문,3.187
광흥창,3.238
교대,4.848
구래,1.416
구로,3.268
구로디지털단지,3.48
구룡,4.499
구리,2.321
구반포,6.017
구산,2.721
구성,2.693
구의,3.776
구일,3.248
구파발,2.998
국수,2.479
국제업무지구,1.483
국회의사당,4.045
군자,4.368
군포,2.023
굴포천,1.873
굽은다리,4.136
귤현,1.689
금곡,1.191
금릉,1.125
금정,2.289
금천구청,2.045
금촌,1.901
금호,2.026
기흥,2.077
길동,3.648
길음,1.921
김량장,2.169
까치산,3.747
까치울,2.707
낙성대,3.203
남구로,2.02
남동구청,1.389
남동인더스파크,1.856
남부터미널,3.838
남성,3.734
남영,5.122
남한산성입구,2.288
내방,3.869
노들,2.562
노량진,4.861
노원,2.133
녹번,2.678
녹사평,3.147
녹양,1.956
녹천,1.952
논현,4.034
능곡,1.66
단대오거리,1.902
달미,1.971
답십리,3.907
당고개,1.047
당산,4.469
당정,2.462
대림,3.298
대모산입,5.162
대방,3.964
대성리,1.382
대야미,1.922
대청,3.751
대치,0.85
대화,1.985
대흥,2.87
덕계,1.57
덕소,2.055
덕정,1.518
도농,2.372
도림천,2.488
도봉,2.179
도봉산,1.579
도심,2.132
도원,1.122
도화,1.216
독립문,2.465
독바위,1.819
독산,2.691
독정,1.727
돌곶이,3.157
동,1.464
동대문,1.765
동대문역사문화공원,3.803
동대입구,3.225
동두천,1.187
동두천중앙,1.728
동막,1.732
동묘앞,3.289
동백,2.302
동수,1.543
동암,1.375
동오,1.702
동인천,1.865
동천,3.686
둔전,1.713
둔촌동,2.946
등촌,3.746
디지털미디어시티,2.798
뚝섬,3.387
뚝섬유원지,3.781
마곡,2.279
마곡나루,3.333
마두,2.059
마들,2.071
마산,1.858
마석,1.443
마장,2.415
마전,1.438
마천,2.086
마포,3.347
마포구청,4.47
만수,1.301
