,호선명,지하철역명,pos_x,pos_y,단위면적 환산액(만원)_x,단위면적 환산액(만원)_y
2,3호선,가락시장,37.492522,127.118234,3.0,6.0
3,8호선,가락시장,37.492522,127.118234,3.0,6.0
4,1호선,가산디지털단지,37.481072,126.882343,4.0,8.0
5,7호선,가산디지털단지,37.481072,126.882343,4.0,8.0
17,2호선,강남,37.497175,127.027926,5.0,10.0
18,신분당선,강남,37.497175,127.027926,5.0,10.0
19,7호선,강남구청,37.517186,127.04128,4.0,9.0
20,분당선,강남구청,37.517186,127.04128,4.0,9.0
22,5호선,강동,37.535804,127.132481,4.0,8.0
23,8호선,강동구청,37.530341,127.120508,4.0,5.0
25,2호선,강변,37.535095,127.094681,4.0,9.0
29,5호선,개화산,37.572399,126.806171,3.0,5.0
30,5호선,거여,37.493105,127.14415,2.0,4.0
31,2호선,건대입구,37.540693,127.07023,4.0,7.0
32,7호선,건대입구,37.540693,127.07023,4.0,7.0
39,3호선,경복궁,37.575762,126.97353,4.0,6.0
43,3호선,경찰병원,37.495918,127.12454,3.0,6.0
46,5호선,고덕,37.555004,127.154151,4.0,8.0
47,6호선,고려대,37.590508,127.036296,3.0,5.0
49,3호선,고속터미널,37.50481,127.004943,3.0,4.0
50,7호선,고속터미널,37.50481,127.004943,3.0,4.0
51,9호선,고속터미널,37.50481,127.004943,3.0,4.0
57,5호선,공덕,37.544018,126.951592,3.0,7.0
58,6호선,공덕,37.544018,126.951592,3.0,7.0
59,경의선,공덕,37.544018,126.951592,3.0,7.0
60,공항철도,공덕,37.544018,126.951592,3.0,7.0
61,7호선,공릉,37.625742,127.072896,3.0,4.0
66,5호선,광나루,37.545303,127.10357,3.0,2.0
68,7호선,광명사거리,37.479252,126.854876,2.0,3.0
69,5호선,광화문,37.571026,126.976669,3.0,4.0
70,6호선,광흥창,37.547456,126.931993,3.0,5.0
71,2호선,교대,37.493415,127.01408,5.0,8.0
72,3호선,교대,37.493415,127.01408,5.0,8.0
74,1호선,구로,37.503039,126.881966,3.0,4.0
75,2호선,구로디지털단지,37.485266,126.901401,3.0,6.0
78,6호선,구산,37.611377,126.91727,3.0,5.0
80,2호선,구의,37.537077,127.085916,4.0,6.0
82,3호선,구파발,37.636763,126.918821,3.0,5.0
86,5호선,군자,37.557121,127.079542,4.0,8.0
87,7호선,군자,37.557121,127.079542,4.0,8.0
90,5호선,굽은다리,37.545477,127.142853,4.0,6.0
97,3호선,금호,37.548034,127.015872,2.0,4.0
99,5호선,길동,37.537801,127.140004,4.0,8.0
100,4호선,길음,37.603407,127.025053,2.0,3.0
102,2호선,까치산,37.531768,126.846683,4.0,5.0
103,5호선,까치산,37.531768,126.846683,4.0,5.0
104,2호선,낙성대,37.47693,126.963693,3.0,5.0
105,7호선,남구로,37.486056,126.887249,2.0,3.0
108,3호선,남부터미널,37.485013,127.016189,4.0,8.0
109,7호선,남성,37.484596,126.971251,4.0,5.0
110,1호선,남영,37.541021,126.9713,5.0,10.0
112,7호선,내방,37.487618,126.993513,4.0,6.0
114,1호선,노량진,37.514219,126.942454,5.0,5.0
115,9호선,노량진,37.514219,126.942454,5.0,5.0
116,4호선,노원,37.655128,127.061368,2.0,4.0
117,7호선,노원,37.655128,127.061368,2.0,4.0
118,3호선,녹번,37.600927,126.935756,3.0,6.0
119,6호선,녹사평,37.534675,126.986695,3.0,6.0
121,1호선,녹천,37.644799,127.051269,2.0,4.0
122,7호선,논현,37.511093,127.021415,4.0,7.0
126,5호선,답십리,37.566747,127.052704,4.0,8.0
127,4호선,당고개,37.670272,127.079066,1.0,2.0
128,2호선,당산,37.53438,126.902281,4.0,8.0
129,9호선,당산,37.53438,126.902281,4.0,8.0
132,2호선,대림,37.49297,126.895801,3.0,6.0
133,7호선,대림,37.49297,126.895801,3.0,6.0
135,1호선,대방,37.513342,126.926382,4.0,9.0
138,3호선,대청,37.493514,127.079532,4.0,6.0
140,6호선,대흥,37.547771,126.942069,3.0,7.0
146,1호선,도봉,37.679563,127.045595,2.0,4.0
147,1호선,도봉산,37.689313,127.046222,1.0,2.0
148,7호선,도봉산,37.689313,127.046222,1.0,2.0
152,3호선,독립문,37.574571,126.957748,3.0,3.0
153,6호선,독바위,37.618456,126.933031,2.0,4.0
156,6호선,돌곶이,37.610537,127.056431,3.0,5.0
158,1호선,동대문,37.57142,127.009745,2.0,3.0
159,4호선,동대문,37.57142,127.009745,2.0,3.0
160,2호선,동대문역사문화공원,37.565138,127.007896,4.0,9.0
161,4호선,동대문역사문화공원,37.565138,127.007896,4.0,9.0
162,5호선,동대문역사문화공원,37.565138,127.007896,4.0,9.0
163,3호선,동대입구,37.559052,127.005602,3.0,4.0
167,1호선,동묘앞,37.572627,127.016429,3.0,8.0
168,6호선,동묘앞,37.572627,127.016429,3.0,8.0
174,4호선,동작,37.502971,126.979306,,1.0
175,9호선,동작,37.502971,126.979306,,1.0
178,5호선,둔촌동,37.527788,127.136248,3.0,5.0
181,6호선,디지털미디어시티,37.576646,126.900984,3.0,5.0
182,경의선,디지털미디어시티,37.576646,126.900984,3.0,5.0
183,공항철도,디지털미디어시티,37.576646,126.900984,3.0,5.0
184,2호선,뚝섬,37.547184,127.047367,4.0,6.0
185,7호선,뚝섬유원지,37.53154,127.066704,4.0,8.0
186,5호선,마곡,37.560183,126.825448,2.0,4.0
189,7호선,마들,37.66494,127.057675,2.0,3.0
192,5호선,마장,37.5661,127.042973,2.0,4.0
194,5호선,마천,37.49499,127.152781,2.0,3.0
195,5호선,마포,37.539574,126.945932,3.0,7.0
196,6호선,마포구청,37.563515,126.903343,4.0,8.0
199,6호선,망원,37.556094,126.910052,3.0,6.0
203,3호선,매봉,37.486947,127.046769,4.0,8.0
205,7호선,먹골,37.610637,127.077725,4.0,5.0
206,7호선,면목,37.588579,127.087503,3.0,5.0
207,4호선,명동,37.560989,126.986325,5.0,10.0
208,5호선,명일,37.55137,127.143999,3.0,5.0
213,5호선,목동,37.526065,126.864931,3.0,5.0
214,8호선,몽촌토성,37.517409,127.112359,4.0,9.0
215,3호선,무악재,37.582299,126.950291,2.0,2.0
216,2호선,문래,37.517933,126.89476,3.0,5.0
218,8호선,문정,37.485855,127.1225,4.0,6.0
222,4호선,미아,37.62667,127.025983,2.0,3.0
223,4호선,미아사거리,37.613292,127.030053,2.0,2.0
226,7호선,반포,37.508178,127.011727,,6.0
228,5호선,발산,37.558598,126.837668,3.0,7.0
229,2호선,방배,37.481426,126.997596,3.0,6.0
230,5호선,방이,37.508857,127.126133,4.0,6.0
231,1호선,방학,37.667503,127.044273,3.0,5.0
232,5호선,방화,37.577446,126.812741,2.0,4.0
236,6호선,버티고개,37.548013,127.007055,2.0,3.0
241,7호선,보라매,37.499872,126.920428,4.0,6.0
242,6호선,보문,37.585286,127.019381,3.0,5.0
243,우이신설경전철,보문,37.585286,127.019381,3.0,5.0
247,2호선,봉천,37.482362,126.941892,4.0,9.0
248,6호선,봉화산,37.617283,127.091401,3.0,4.0
260,3호선,불광,37.610469,126.929887,3.0,5.0
261,6호선,불광,37.610469,126.929887,3.0,5.0
262,7호선,사가정,37.580894,127.088478,3.0,6.0
263,2호선,사당,37.47653,126.981685,4.0,7.0
264,4호선,사당,37.47653,126.981685,4.0,7.0
272,4호선,삼각지,37.534777,126.97311,4.0,9.0
273,6호선,삼각지,37.534777,126.97311,4.0,9.0
276,2호선,삼성,37.508844,127.06316,5.0,6.0
283,4호선,상계,37.660878,127.073572,2.0,4.0
284,7호선,상도,37.502834,126.94791,3.0,4.0
287,7호선,상봉,37.596362,127.085032,5.0,9.0
288,경의선,상봉,37.596362,127.085032,5.0,9.0
289,경춘선,상봉,37.596362,127.085032,5.0,9.0
290,6호선,상수,37.547716,126.922852,3.0,5.0
291,2호선,상왕십리,37.564354,127.029354,4.0,6.0
292,6호선,상월곡,37.606377,127.048491,3.0,4.0
293,5호선,상일동,37.556712,127.166417,3.0,3.0
296,6호선,새절,37.591148,126.913629,3.0,5.0
299,5호선,서대문,37.565773,126.966641,3.0,4.0
303,1호선,서울,37.554648,126.972559,3.0,5.0
304,4호선,서울,37.554648,126.972559,3.0,5.0
305,경의선,서울,37.554648,126.972559,3.0,5.0
306,공항철도,서울,37.554648,126.972559,3.0,5.0
307,2호선,서울대입구,37.481247,126.952739,5.0,7.0
310,2호선,서초,37.491897,127.007917,6.0,7.0
312,1호선,석계,37.614805,127.065851,3.0,5.0
313,6호선,석계,37.614805,127.065851,3.0,5.0
318,8호선,석촌,37.505431,127.106979,3.0,6.0
319,9호선,석촌,37.505431,127.106979,3.0,6.0
321,2호선,선릉,37.504503,127.049008,4.0,6.0
322,분당선,선릉,37.504503,127.049008,4.0,6.0
330,2호선,성수,37.544581,127.055961,3.0,6.0
331,4호선,성신여대입구,37.592624,127.016403,6.0,6.0
332,우이신설경전철,성신여대입구,37.592624,127.016403,6.0,6.0
346,5호선,송정,37.561184,126.811973,3.0,5.0
348,8호선,송파,37.499703,127.112183,4.0,6.0
351,7호선,수락산,37.67785,127.055315,2.0,4.0
354,3호선,수서,37.487371,127.10188,4.0,5.0
355,분당선,수서,37.487371,127.10188,4.0,5.0
358,4호선,수유,37.638052,127.025732,4.0,9.0
361,4호선,숙대입구,37.54456,126.972106,3.0,5.0
362,7호선,숭실대입구,37.496029,126.953822,4.0,6.0
367,5호선,신금호,37.554548,127.020331,2.0,3.0
368,1호선,신길,37.517122,126.917169,5.0,9.0
369,5호선,신길,37.517122,126.917169,5.0,9.0
371,6호선,신내,37.612887,127.103218,2.0,2.0
372,경춘선,신내,37.612887,127.103218,2.0,2.0
375,2호선,신당,37.565972,127.01782,4.0,7.0
376,6호선,신당,37.565972,127.01782,4.0,7.0
377,2호선,신대방,37.487462,126.913149,4.0,7.0
378,7호선,신대방삼거리,37.499701,126.928276,4.0,6.0
379,1호선,신도림,37.508725,126.891295,4.0,5.0
380,2호선,신도림,37.508725,126.891295,4.0,5.0
382,2호선,신림,37.484201,126.929715,4.0,8.0
386,3호선,신사,37.516334,127.020114,4.0,7.0
387,1호선,신설동,37.575297,127.025087,4.0,8.0
388,2호선,신설동,37.575297,127.025087,4.0,8.0
389,우이신설경전철,신설동,37.575297,127.025087,4.0,8.0
391,4호선,신용산,37.52917,126.967894,4.0,8.0
392,1호선,신이문,37.601854,127.067325,2.0,6.0
393,5호선,신정,37.524997,126.856191,4.0,5.0
397,2호선,신촌,37.555134,126.936893,5.0,8.0
398,경의선,신촌,37.555134,126.936893,5.0,8.0
400,7호선,신풍,37.50008,126.90993,2.0,4.0
402,4호선,쌍문,37.648627,127.034709,3.0,4.0
405,5호선,아차산,37.551691,127.089761,4.0,6.0
406,2호선,아현,37.557345,126.956141,4.0,4.0
407,3호선,안국,37.576477,126.985443,2.0,2.0
