,id,station_name,station_line,area,rent_price,lease_price,pos_x,pos_y,지하철역명,rent,lease
0,026a8278-677e-4ef3-9767-f2fec8084fc1,증산,6호선,,3,4,37.583876,126.909645,증산,2.865,3.966
1,06bf0945-8eff-4869-97bc-73b63fcbb512,고덕,5호선,,4,8,37.555004,127.154151,고덕,3.936,8.229
2,0992fe33-4fbc-4740-97b2-80618bdedbb7,을지로입구,2호선,,6,9,37.566014,126.982618,,,
3,0ba5b63c-6127-4716-93f1-f74d4757a79a,약수,3호선,,4,6,37.55434,127.010655,약수,3.793,5.863
4,0ba5c5f3-4170-435e-8bbd-11526f0e8b2e,미아,4호선,,2,3,37.62667,127.025983,미아,2.067,3.179
5,0c356577-eb7e-4bfa-9939-e113a3ec3a13,상일동,5호선,,3,3,37.556712,127.166417,상일동,2.858,3.036
6,0d047f23-bf01-4b8a-9bb5-6f335bf8d485,미아사거리,4호선,,2,2,37.613292,127.030053,미아사거리,2.425,2.552
7,0d636643-6b21-4d93-aa9b-f668aef5b09c,선릉,2호선,,4,6,37.504503,127.049008,선릉,4.081,6.578
8,0d6e3785-1b77-4a52-a1e0-26e01485c822,신금호,5호선,,2,3,37.554548,127.020331,신금호,2.287,3.075
9,0d94da9c-6ded-4efa-9aae-806e5316a999,아현,2호선,,4,4,37.557345,126.956141,아현,4.276,3.967
10,0e8eebbe-61ec-454e-82bb-2860d8e72773,논현,7호선,,4,7,37.511093,127.021415,논현,4.034,7.133
11,0f97704e-83d0-4352-9840-77536c2bdc51,제기동,1호선,,3,6,37.578103,127.034893,제기동,3.218,6.288
12,10aef9c1-a9ba-4ec4-9cf1-167e319bbbc8,학동,7호선,,4,7,37.514229,127.031656,학동,4.211,6.954
13,11ff0e65-2cb3-406c-93ba-fac175d2ce6e,신당,6호선,,4,7,37.565972,127.01782,신당,4.144,7.213
14,137b4db9-e03b-4ca1-9ab0-89a13ad0881e,남구로,7호선,,2,3,37.486056,126.887249,남구로,2.02,3.351
15,149ea381-f175-487d-8aad-585d2c352140,신길,1호선,,5,9,37.517122,126.917169,신길,4.519,8.811
16,15ff9887-cce4-4c0e-8648-5fa2821a71e8,방학,1호선,,3,5,37.667503,127.044273,방학,3.285,5.381
17,16727566-c0c1-40f3-9772-7a64420b7e1e,동대문,4호선,,2,3,37.57142,127.009745,동대문,1.765,3.269
18,1689e7ef-e3e9-408d-84be-dac7817ebdc9,마들,7호선,,2,3,37.66494,127.057675,마들,2.071,3.417
19,172f6e66-0479-4330-86c0-1acd94f3802a,역촌,6호선,,3,5,37.606021,126.922744,역촌,3.068,4.542
20,172f94fe-3b98-4713-aa3e-57d1c7de7074,길동,5호선,,4,8,37.537801,127.140004,길동,3.648,7.948
21,1a348779-8c81-484c-929f-e5117fb90268,용마산,7호선,,4,5,37.573647,127.086727,용마산,3.62,5.287
22,1b5dece9-e208-495d-87cd-a63932075835,신당,2호선,,4,7,37.565972,127.01782,신당,4.144,7.213
23,1b774074-840c-41b0-aa1b-4917f7286dbb,구로디지털단지,2호선,,3,6,37.485266,126.901401,구로디지털단지,3.48,6.17
24,1bca84cf-90d2-43e0-ae33-daf565e5dae9,금호,3호선,,2,4,37.548034,127.015872,금호,2.026,3.731
25,1bd9c9d1-5ec9-48dc-bc0c-9d8c85bd4f5b,망원,6호선,,3,6,37.556094,126.910052,망원,3.477,6.197
26,1c0004dd-547a-4346-b068-6187b19471a0,상계,4호선,,2,4,37.660878,127.073572,상계,1.941,3.597
27,1e08faa9-67e6-401c-b42e-f0127bbf3629,복정,8호선,,5,8,37.470047,127.126662,,,
28,1ecd895b-e6fd-4690-86f1-1facef6c9548,대림,7호선,,3,6,37.49297,126.895801,대림,3.298,5.969
29,1f004e53-2586-488f-a855-e992e741ea36,가락시장,8호선,,3,6,37.492522,127.118234,가락시장,3.416,6.108
30,1fa08f05-2652-4a71-8112-61f8bb4a294d,문래,2호선,,3,5,37.517933,126.89476,문래,2.737,5.227
31,1fb30644-5ff7-4fcc-9fc8-94208e340230,공덕,6호선,,3,7,37.544018,126.951592,공덕,3.473,6.652
32,21092209-15ae-46ef-825b-b21ccb8c5e92,서울,1호선,,3,5,37.554648,126.972559,서울,3.246,4.604
33,2112e422-61b5-43f5-a434-2f6c2b83c431,동대문,1호선,,2,3,37.57142,127.009745,동대문,1.765,3.269
34,23683251-e58a-406e-84e3-402c511f2d1f,잠원,3호선,,3,7,37.512759,127.01122,잠원,3.113,0.0
35,23ab6f41-f225-4144-bcd2-91547697807a,불광,3호선,,3,5,37.610469,126.929887,불광,3.183,4.91
36,23c25191-c5f4-4873-a794-bac144c6f6f9,신도림,1호선,,4,5,37.508725,126.891295,신도림,3.477,5.151
37,24074727-129d-47b4-b592-4cd30110b9a3,문정,8호선,,4,6,37.485855,127.1225,문정,3.917,5.803
38,264ea7c2-dd55-4fe5-a0be-41eca469ea01,양재,3호선,,4,7,37.484147,127.034631,양재,4.53,7.273
39,28e944df-ca1f-4946-8009-175051620b3b,창동,4호선,,2,4,37.653166,127.047731,창동,2.188,3.998
40,29ec0743-addb-47f1-a933-1561c8e653e2,왕십리,5호선,,4,8,37.561533,127.037732,왕십리,4.363,8.21
41,2a25e146-9fde-4702-8409-9842ce523a89,강남구청,7호선,,4,9,37.517186,127.04128,강남구청,3.959,9.38
42,2bdd5cd1-3408-43bc-9a4d-eccc53b86759,녹천,1호선,,3,4,37.644799,127.051269,녹천,1.952,3.702
43,2c4f80f4-f2d1-45bc-9e5b-e3b0b0e27460,을지로4가,2호선,,4,6,37.566941,126.998079,을지로4가,3.424,6.113
44,2c57f520-28f9-41ee-aec6-8afa3a2dd2fe,동대문역사문화공원,2호선,,4,9,37.565138,127.007896,동대문역사문화공원,3.803,8.75
45,2d8ad6dc-dd7b-4019-ade3-480d470d0425,서울대입구,2호선,,5,7,37.481247,126.952739,서울대입구,4.984,7.395
46,2db33583-24ea-4c74-b3bf-d37502abaed6,낙성대,2호선,,3,5,37.47693,126.963693,낙성대,3.203,4.623
47,2e0dbfce-78bf-42f0-b590-bc3148c45939,명동,4호선,,5,10,37.560989,126.986325,명동,4.976,10.444
48,2f544365-2362-457c-99c1-4d0343e2fe85,서초,2호선,,6,7,37.491897,127.007917,서초,5.86,7.004
49,2fe57b98-70b1-4580-93cd-c4a389a5c0d2,송정,5호선,,3,5,37.561184,126.811973,송정,2.976,4.876
50,306f6dfa-3f91-4b53-991b-4bd1134d368d,뚝섬유원지,7호선,,4,8,37.53154,127.066704,뚝섬유원지,3.781,7.728
51,30851b3a-569a-4f76-b433-aceb45dab2e2,한성대입구,4호선,,3,3,37.588458,127.006221,한성대입구,3.148,3.43
52,308aca6b-c5b4-42aa-bdaf-b2add5ad6aea,신정,5호선,,4,5,37.524997,126.856191,신정,3.684,4.681
53,3272251c-e231-4389-8449-1fea75cf2082,종로5가,1호선,,7,10,37.570926,127.001849,종로5가,4.487,10.472
54,33032e1b-5824-4f4c-afc9-82441be55d7f,대림,2호선,,3,6,37.49297,126.895801,대림,3.298,5.969
