지하철역명,rent,lease
4.19민주묘지,2.628,4.282
가능,1.574,2.413
가락시장,3.416,6.108
가산디지털단지,3.874,7.396
가양,2.498,5.296
가오리,2.208,3.39
가재울,1.2,1.933
가정,2.0,2.32
가정중앙시장,1.076,1.881
가좌,2.861,4.07
가평,0,2.343
간석,1.396,2.25
간석오거리,1.788,3.146
갈매,2.13,5.739
갈산,1.445,2.916
강남,4.562,10.26
강남구청,3.959,9.38
강남대,3.259,3.667
강동,4.473,8.037
강동구청,4.128,5.249
강매,1.981,3.747
강변,3.741,8.615
개농,3.07,5.252
개봉,2.729,3.746
개포동,4.727,2.347
개화산,2.505,5.015
거여,2.032,4.572
건대입구,3.694,7.085
걸포북변,1.702,2.466
검단사거리,1.305,2.408
검단오류,1.654,0
검바위,1.725,3.098
검암,1.865,3.112
경기광주,2.112,2.988
경기도청북부청사,2.332,4.831
경복궁,3.881,5.956
경원대,2.736,2.097
경인교대,1.335,2.558
경전철의정부,2.08,3.232
경찰병원,3.342,6.284
계산,1.248,2.418
계양,0,1.843
고덕,3.936,8.229
고려대,3.052,4.571
고색,1.784,2.713
고속터미널,3.129,3.643
고잔,2.257,4.541
고진,1.484,1.374
고촌,2.081,4.76
곤제,1.436,3.075
곤지암,1.654,1.966
공덕,3.473,6.652
공릉,2.86,4.35
공항시장,2.864,5.07
과천,3.585,0
관악,2.738,3.82
광교,2.832,6.023
광교중앙,3.361,6.925
광나루,2.626,1.486
광명,2.743,5.475
광명사거리,1.757,3.341
광화문,3.187,4.426
광흥창,3.238,4.79
교대,4.848,7.338
구래,1.416,4.028
구로,3.268,4.446
구로디지털단지,3.48,6.17
구룡,4.499,0
구리,2.321,3.401
구반포,6.017,6.089
구산,2.721,4.687
구성,2.693,6.687
구의,3.776,6.426
구일,3.248,6.128
구파발,2.998,5.104
국수,2.479,2.534
국제업무지구,1.483,1.129
국회의사당,4.045,5.008
군자,4.368,7.815
군포,2.023,3.348
굴포천,1.873,3.342
굽은다리,4.136,5.82
귤현,1.689,3.106
금곡,1.191,1.966
금릉,1.125,2.876
금정,2.289,3.688
금천구청,2.045,5.324
금촌,1.901,3.102
금호,2.026,3.731
기흥,2.077,3.0
길동,3.648,7.948
길음,1.921,2.654
김량장,2.169,2.533
까치산,3.747,5.252
까치울,2.707,0
낙성대,3.203,4.623
남구로,2.02,3.351
남동구청,1.389,2.76
남동인더스파크,1.856,2.817
남부터미널,3.838,8.272
남성,3.734,4.707
남영,5.122,10.018
남한산성입구,2.288,3.177
내방,3.869,6.517
노들,2.562,3.637
노량진,4.861,5.074
노원,2.133,3.858
녹번,2.678,5.741
녹사평,3.147,5.814
녹양,1.956,2.785
녹천,1.952,3.702
논현,4.034,7.133
능곡,1.66,2.37
단대오거리,1.902,2.819
달미,1.971,2.744
답십리,3.907,7.596
당고개,1.047,2.287
당산,4.469,7.668
당정,2.462,3.835
대곡,0,1.881
대림,3.298,5.969
대모산입,5.162,3.934
대방,3.964,9.258
대성리,1.382,2.638
대야미,1.922,2.943
대청,3.751,5.918
대치,0.85,0
대화,1.985,3.848
대흥,2.87,6.807
덕계,1.57,2.08
덕소,2.055,2.871
덕정,1.518,1.923
도농,2.372,3.088
도림천,2.488,4.667
도봉,2.179,4.127
도봉산,1.579,2.35
