station_line_dep,station_name_dep,station_line_arv,station_name_arv,travel_time,feel_time_weekday_m,feel_time_weekday_n,feel_time_weekday_d,feel_time_weekend_m,feel_time_weekend_d,feel_time_weekend_n
1호선,가산디지털단지,1호선,구로,240,326,269,269,269,269,240
1호선,구로,1호선,가산디지털단지,240,269,326,269,240,298,269
1호선,구로,1호선,신도림,90,122,101,101,101,101,90
1호선,신도림,1호선,구로,90,101,122,101,90,112,101
1호선,신도림,1호선,영등포,120,163,134,134,134,134,120
1호선,영등포,1호선,신도림,120,134,178,134,120,149,134
1호선,영등포,1호선,신길,120,163,134,134,134,149,120
1호선,신길,1호선,영등포,120,134,178,149,120,149,134
1호선,신길,1호선,대방,60,82,67,67,67,74,60
1호선,대방,1호선,신길,60,67,89,74,60,74,67
1호선,대방,1호선,노량진,120,163,134,134,134,149,120
1호선,노량진,1호선,대방,120,134,178,149,120,149,134
1호선,노량진,1호선,용산,180,266,202,202,202,223,180
1호선,용산,1호선,노량진,180,202,266,223,202,223,202
1호선,용산,1호선,남영,120,178,149,149,134,149,134
1호선,남영,1호선,용산,120,134,178,149,134,149,134
1호선,남영,1호선,서울역,150,222,186,186,168,186,168
1호선,서울역,1호선,남영,150,186,240,186,168,204,186
1호선,서울역,1호선,시청,120,178,149,149,134,149,134
1호선,시청,1호선,서울역,120,134,178,149,134,149,134
1호선,시청,1호선,종각,120,163,149,149,134,149,134
1호선,종각,1호선,시청,120,149,163,149,134,149,134
1호선,종각,1호선,종로3가,90,112,122,112,101,112,101
1호선,종로3가,1호선,종각,90,122,112,112,101,112,101
1호선,종로3가,1호선,종로5가,90,112,122,112,101,112,101
1호선,종로5가,1호선,종로3가,90,133,112,112,101,122,101
1호선,종로5가,1호선,동대문,90,101,122,112,101,112,101
1호선,동대문,1호선,종로5가,90,133,112,112,101,122,90
1호선,동대문,1호선,동묘앞,90,101,122,112,101,112,101
1호선,동묘앞,1호선,동대문,90,133,101,112,101,112,90
1호선,동묘앞,1호선,신설동,90,101,122,112,101,112,101
1호선,신설동,1호선,동묘앞,90,133,101,101,101,112,90
1호선,신설동,1호선,제기동,90,90,122,101,90,112,101
1호선,제기동,1호선,신설동,90,133,101,101,101,112,90
1호선,제기동,1호선,청량리,90,90,122,101,90,101,101
1호선,청량리,1호선,제기동,90,133,101,112,101,122,90
1호선,청량리,1호선,회기,150,168,204,186,168,186,168
1호선,회기,1호선,청량리,150,222,168,186,168,186,150
1호선,회기,1호선,외대앞,90,101,122,101,101,112,101
1호선,외대앞,1호선,회기,90,122,101,101,101,112,90
1호선,외대앞,1호선,신이문,60,67,82,67,60,67,67
1호선,신이문,1호선,외대앞,60,82,67,67,67,74,60
1호선,신이문,1호선,석계,120,134,149,134,120,134,134
1호선,석계,1호선,신이문,120,163,134,134,134,149,120
1호선,석계,1호선,광운대,120,120,149,134,120,134,134
1호선,광운대,1호선,석계,120,163,134,134,134,149,120
1호선,광운대,1호선,월계,90,90,112,101,90,101,101
1호선,월계,1호선,광운대,90,112,101,101,90,101,90
1호선,월계,1호선,녹천,120,120,149,134,120,134,120
1호선,녹천,1호선,월계,120,149,134,134,120,134,120
1호선,녹천,1호선,창동,90,90,112,101,90,101,90
1호선,창동,1호선,녹천,90,112,90,101,90,101,90
1호선,창동,1호선,방학,120,120,134,134,120,134,120
1호선,방학,1호선,창동,120,149,120,134,120,134,120
1호선,방학,1호선,도봉,90,90,101,90,90,101,90
