호선,역명,역명,시간(분)
1호선,관악,석수,2:00
1호선,석수,금천구,2:30
1호선,금천구,독산,2:00
1호선,독산,가산디,2:00
1호선,가산디,구로,4:00
1호선,구로,신도림,1:30
1호선,신도림,영등포,2:00
1호선,영등포,신길,2:00
1호선,신길,대방,1:00
1호선,대방,노량진,2:00
1호선,노량진,용산,3:00
1호선,용산,남영,2:00
1호선,남영,지하서,2:30
1호선,지하서,시청,2:00
1호선,시청,종각,2:00
1호선,종각,종로3가,1:30
1호선,종로3가,종로5가,1:30
1호선,종로5가,동대문,1:30
1호선,동대문,동묘앞,1:30
1호선,동묘앞,신설동,1:30
1호선,신설동,제기동,1:30
1호선,제기동,청량리,1:30
1호선,청량리,회기,2:30
1호선,회기,외대앞,1:30
1호선,외대앞,신이문,1:00
1호선,신이문,석계,2:00
1호선,석계,광운대,2:00
1호선,광운대,월계,1:30
1호선,월계,녹천,2:00
1호선,녹천,창동,1:30
1호선,창동,방학,2:00
1호선,방학,도봉,1:30
1호선,도봉,도봉산,1:30
2호선,시청,을지로입구,1:30
2호선,을지로입구,을지로3가,1:00
2호선,을지로3가,을지로4가,1:00
2호선,을지로4가,동대문역사문화공원,1:30
2호선,동대문역사문화공원,신당,1:30
2호선,신당,상왕십리,1:00
2호선,상왕십리,왕십리,1:00
2호선,왕십리,한양대,1:30
2호선,한양대,뚝섬,1:30
2호선,뚝섬,성수2,1:00
2호선,성수2,건대입구,1:30
2호선,건대입구,구의,2:00
2호선,구의,강변,1:00
2호선,강변,잠실나루,2:00
2호선,잠실나루,잠실,1:30
2호선,잠실,잠실새내,1:30
2호선,잠실새내,종합운동장,1:30
2호선,종합운동장,삼성,1:30
2호선,삼성,선릉,1:30
2호선,선릉,역삼,1:30
2호선,역삼,강남,1:00
2호선,강남,교대,1:30
2호선,교대,서초,1:00
2호선,서초,방배,2:00
2호선,방배,사당,2:30
2호선,사당,낙성대,2:00
2호선,낙성대,서울대입구,1:30
2호선,서울대입구,봉천,1:00
2호선,봉천,신림,1:30
2호선,신림,신대방,2:00
2호선,신대방,구로디지털단지,1:30
2호선,구로디지털단지,대림,1:30
2호선,대림,신도림,2:30
2호선,신도림,문래,2:00
2호선,문래,영등포구청,1:00
2호선,영등포구청,당산,1:30
2호선,당산,합정,2:30
2호선,합정,홍대입구,1:30
2호선,홍대입구,신촌,2:00
2호선,신촌,이대,1:00
2호선,이대,아현,1:00
2호선,아현,충정로,1:30
2호선,충정로,시청,2:00
3호선,오금,경찰병원,1:30
3호선,경찰병원,가락시장,1:00
3호선,가락시장,수서,2:00
3호선,수서,일원,2:00
3호선,일원,대청,1:30
3호선,대청,학여울,1:30
3호선,학여울,대치,1:00
3호선,대치,도곡,1:00
3호선,도곡,매봉,1:00
3호선,매봉,양재,1:30
3호선,양재,남부터미널,2:00
3호선,남부터미널,교대,1:30
3호선,교대,고속터미널,2:00
3호선,고속터미널,잠원,1:30
3호선,잠원,신사,1:00
3호선,신사,압구정,2:00
3호선,압구정,옥수,2:30
3호선,옥수,금호,1:00
3호선,금호,약수,1:00
3호선,약수,동대입구,1:30
3호선,동대입구,충무로,1:30
3호선,충무로,을지로3가,1:00
3호선,을지로3가,종로3가,1:00
3호선,종로3가,안국,2:00
