연번,조사일자,호선,역번호,역명,구분,출근,퇴근,평일평균,주말 오전,주말 오후,주말 밤
2,평일,1,150,서울역,하선,20.8,51.1,25.44,10.91,30,20.82
1,평일,1,150,서울역,상선,45.5,22.57,22.4,17.35,25.83,11.15
4,평일,1,151,시청,하선,19.85,47.25,23.56,10.22,28.81,18.08
3,평일,1,151,시청,상선,35.15,27.3,21.87,15.83,25.48,13
6,평일,1,152,종각,하선,26.68,37.3,22.28,11.36,28.8,16
5,평일,1,152,종각,상선,21.77,33.12,21.65,14.25,24.68,15.24
8,평일,1,153,종로3가,하선,37.57,28.07,21.49,12.63,28.67,12.97
7,평일,1,153,종로3가,상선,22.02,36.55,23.48,14.54,26.38,16.73
10,평일,1,154,종로5가,하선,41.62,26.92,22.88,14.9,32.18,11.73
9,평일,1,154,종로5가,상선,16.12,38.82,22.45,13.09,25.08,17.17
12,평일,1,155,동대문,하선,45.5,20.85,21.76,15.42,30.63,9.96
11,평일,1,155,동대문,상선,14.98,39.83,22.52,12.87,25.56,17.53
14,평일,1,156,신설동,하선,43.42,17.93,20.88,16.3,27.43,8.61
13,평일,1,156,신설동,상선,11.87,37.75,20.61,10.87,23.68,16.64
16,평일,1,157,제기동,하선,41.53,15.12,19.65,16.12,26.28,8.17
15,평일,1,157,제기동,상선,9.75,37.22,18.75,9.65,20.5,16.2
18,평일,1,158,청량리,하선,40.93,13.35,17.99,15.28,22.66,7.68
17,평일,1,158,청량리,상선,7.6,32.52,16.11,7.55,17.46,14.48
20,평일,1,159,동묘앞,하선,46.27,19.43,21.76,16.04,31.33,9.6
19,평일,1,159,동묘앞,상선,13.25,36.9,20.85,11.09,23.41,16.03
22,평일,2,201,시청,외선,23.25,55.75,31.34,13.3,35.27,27.04
21,평일,2,201,시청,내선,51.43,33.02,31.17,16.3,29.1,24.95
24,평일,2,202,을지로입구,외선,28.4,49.22,30.15,13.28,32.95,25.09
23,평일,2,202,을지로입구,내선,36.37,42.85,30.91,14,29.44,27.54
26,평일,2,203,을지로3가,외선,40.28,39.72,29.66,15.6,32.86,22
25,평일,2,203,을지로3가,내선,32.57,43.68,30.51,13.63,28.59,27.75
28,평일,2,204,을지로4가,외선,43.83,35.13,28.69,16.09,31.77,21.15
27,평일,2,204,을지로4가,내선,30.53,48.1,31.6,13.39,29.26,28.46
30,평일,2,205,동대문역사문화공원,외선,47.68,33.18,29.2,16.94,32.52,21.03
29,평일,2,205,동대문역사문화공원,내선,41.72,49.88,35.68,17.08,33.8,28.96
32,평일,2,206,신당,외선,47.32,41.93,33.37,18.44,36.05,26
31,평일,2,206,신당,내선,44.68,48.6,36.12,17.83,34.74,28.05
34,평일,2,207,상왕십리,외선,45.47,44.25,33.63,18.18,36.13,27.6
33,평일,2,207,상왕십리,내선,45.98,47.17,35.77,18.19,34.5,26.97
36,평일,2,208,왕십리,외선,42.72,44.72,33.29,17.43,35.53,27.67
35,평일,2,208,왕십리,내선,39.6,32.42,27.29,15.45,28.66,19.37
38,평일,2,209,한양대,외선,27.8,36.93,25.42,13.09,27.42,24.35
37,평일,2,209,한양대,내선,36.88,33.02,26.45,13.45,27.18,19.96
40,평일,2,210,뚝섬,외선,27.82,35.17,24.71,12.98,26.2,22.35
39,평일,2,210,뚝섬,내선,30.82,36.05,25.62,12.62,26.14,21.06
42,평일,2,211,성수,외선,31.35,30.72,24.02,13.14,26.06,21.1
41,평일,2,211,성수,내선,23.13,39.7,27.34,12.17,26.84,25.93
44,평일,2,212,건대입구,외선,41.55,28.67,26.39,16.21,29.26,19.9
43,평일,2,212,건대입구,내선,33.32,32.7,27.91,15.3,27.28,24.18
46,평일,2,213,구의,외선,33,36.43,27.59,15.21,29.94,22.86
45,평일,2,213,구의,내선,36.75,29.37,26.88,16.05,26.54,21.56
48,평일,2,214,강변,외선,27.98,38.32,26.94,13.54,28.75,23.89
47,평일,2,214,강변,내선,42.95,27.73,27.36,16.23,26.36,20.35
50,평일,2,215,잠실나루,외선,24.52,41.27,27.65,12.96,28.17,24.15
49,평일,2,215,잠실나루,내선,43.25,27.42,27.25,16.12,26.38,19.68
52,평일,2,216,잠실,외선,23.8,40.97,27.73,12.59,28.03,24.57
51,평일,2,216,잠실,내선,60.05,30.45,32.62,17.49,28.3,23.58
54,평일,2,217,신천,외선,24.08,55.15,34.19,15.54,31.24,24.48
53,평일,2,217,신천,내선,63.27,27.67,32.11,18.44,26.83,21.67
56,평일,2,218,종합운동장,외선,20.27,58.08,33.83,14.09,30.72,24.45
55,평일,2,218,종합운동장,내선,65.23,27.38,32.61,18.09,25.72,21.95
58,평일,2,219,삼성,외선,19.98,60.05,33.96,13.87,30.95,23.29
57,평일,2,219,삼성,내선,53.55,45.55,36.45,15.68,28.15,28.48
60,평일,2,220,선릉,외선,39.32,52.15,37.09,19.02,34.13,20.17
59,평일,2,220,선릉,내선,55.78,67.57,47.28,17.74,34.34,34.63
62,평일,2,221,역삼,외선,59.72,56.63,46.39,25.12,39.84,23.44
61,평일,2,221,역삼,내선,41.7,85.77,50.47,17.55,35.86,36.97
64,평일,2,222,강남,외선,81.23,47.75,49.29,27.82,41.22,23.45
63,평일,2,222,강남,내선,32.43,94.97,54.77,17.12,37.87,43.99
66,평일,2,223,교대,외선,98.38,45.92,52.04,33.8,45.86,23.44
65,평일,2,223,교대,내선,30.5,97.23,55.14,17.21,37.94,46.81
68,평일,2,224,서초,외선,104.87,40.75,51.58,37.69,45.42,21.95
67,평일,2,224,서초,내선,25.35,100.78,54.91,16.03,38.05,47.86
70,평일,2,225,방배,외선,110.9,36.48,51.16,38.39,43.7,21.13
69,평일,2,225,방배,내선,24.63,102.62,55.22,16.08,38.35,47.77
72,평일,2,226,사당,외선,113.08,35.42,51.39,39.21,43.5,21.53
71,평일,2,226,사당,내선,26.13,92.25,51.82,15.43,37.5,48.15
74,평일,2,227,낙성대,외선,101.62,34.97,47.57,39.38,41.96,21.85
73,평일,2,227,낙성대,내선,27.58,86.18,49.7,15.6,36.57,44.73
76,평일,2,228,서울대입구,외선,92.63,35,45.19,37.32,39.25,22.6
75,평일,2,228,서울대입구,내선,28.48,76.2,44.66,14.25,33.93,40.29
78,평일,2,229,봉천,외선,81.5,34.52,41.58,33.94,35.58,21.37
77,평일,2,229,봉천,내선,32.07,71.35,43.61,15.01,33.54,37.97
80,평일,2,230,신림,외선,74.75,36.05,40.39,31.63,34.78,22.51
